close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
92.47,93.22,90.47,91.89,27290523,92.47,93.22,90.47,91.89,27290523,0.0,1.0
93.24,93.74,92.239,92.9,20012911,93.24,93.74,92.239,92.9,20012911,0.0,1.0
94.26,94.6,92.67,93.32,18449562,94.26,94.6,92.67,93.32,18449562,0.0,1.0
94.12,95.37,93.55,93.66,19480347,94.12,95.37,93.55,93.66,19480347,0.0,1.0
94.07,95.2,93.61,94.08,19253351,94.07,95.2,93.61,94.08,19253351,0.0,1.0
95.96,96.3,94.9,94.99,27557516,95.96,96.3,94.9,94.99,27557516,0.0,1.0
97.54,97.59,95.35,96.18,25412856,97.54,97.59,95.35,96.18,25412856,0.0,1.0
98.47,98.57,96.92,97.18,23729924,98.47,98.57,96.92,97.18,23729924,0.0,1.0
97.0,99.59,96.56,98.73,30881777,97.0,99.59,96.56,98.73,30881777,0.0,1.0
97.11,98.18,96.47,97.37,22003730,97.11,98.18,96.47,97.37,22003730,0.0,1.0
99.67,99.73,97.55,97.79,26392075,99.67,99.73,97.55,97.79,26392075,0.0,1.0
102.19,102.85,100.16,101.91,42809661,102.19,102.85,100.16,101.91,42809661,0.0,1.0
103.77,103.81,101.55,102.2,25961212,103.77,103.81,101.55,102.2,25961212,0.0,1.0
103.7,104.1,102.4,102.94,23795472,103.7,104.1,102.4,102.94,23795472,0.0,1.0
104.2,104.48,102.92,103.9,24081515,104.2,104.48,102.92,103.9,24081515,0.0,1.0
104.88,105.12,103.52,103.96,20316691,104.88,105.12,103.52,103.96,20316691,0.0,1.0
101.97,104.72,101.65,104.51,33487104,101.97,104.72,101.65,104.51,33487104,0.0,1.0
103.31,103.47,101.18,102.46,24003944,103.31,103.47,101.18,102.46,24003944,0.0,1.0
102.58,103.65,102.4,103.22,21242341,102.58,103.65,102.4,103.22,21242341,0.0,1.0
103.94,104.14,102.48,103.19,43469308,103.94,104.14,102.48,103.19,43469308,0.0,1.0
108.76,110.65,107.95,108.8,63232861,108.76,110.65,107.95,108.8,63232861,0.0,1.0
107.095,108.74,105.91,108.04,35084342,107.095,108.74,105.91,108.04,35084342,0.0,1.0
106.49,108.25,105.86,107.0,26383540,106.49,108.25,105.86,107.0,26383540,0.0,1.0
107.91,108.15,105.24,105.96,25031681,107.91,108.15,105.24,105.96,25031681,0.0,1.0
109.01,109.87,107.11,108.27,25057099,109.01,109.87,107.11,108.27,25057099,0.0,1.0
108.02,109.39,108.0,108.48,20924674,108.02,109.39,108.0,108.48,20924674,0.0,1.0
103.95,108.25,103.83,107.71,30278403,103.95,108.25,103.83,107.71,30278403,0.0,1.0
104.04,104.17,100.47,103.32,49309167,104.04,104.17,100.47,103.32,49309167,0.0,1.0
105.13,106.2,104.14,104.62,26774146,105.13,106.2,104.14,104.62,26774146,0.0,1.0
107.77,107.88,105.39,105.8,23836526,107.77,107.88,105.39,105.8,23836526,0.0,1.0
106.26,107.73,105.95,107.36,25520599,106.26,107.73,105.95,107.36,25520599,0.0,1.0
107.32,107.87,106.62,106.84,22129648,107.32,107.87,106.62,106.84,22129648,0.0,1.0
106.95,107.468,106.08,107.19,19897220,106.95,107.468,106.08,107.19,19897220,0.0,1.0
105.74,106.49,104.39,106.0,23577293,105.74,106.49,104.39,106.0,23577293,0.0,1.0
105.41,106.6,105.1,106.33,15150785,105.41,106.6,105.1,106.33,15150785,0.0,1.0
105.45,105.96,104.86,105.78,5913066,105.45,105.96,104.86,105.78,5913066,0.0,1.0
104.24,106.0999,103.75,105.84,20383179,104.24,106.0999,103.75,105.84,20383179,0.0,1.0
107.12,107.15,104.5,104.83,22781868,107.12,107.15,104.5,104.83,22781868,0.0,1.0
106.07,107.92,105.79,107.0,24429063,106.07,107.92,105.79,107.0,24429063,0.0,1.0
104.38,106.85,103.35,106.27,23236485,104.38,106.85,103.35,106.27,23236485,0.0,1.0
106.18,107.73,104.11,104.81,21224721,106.18,107.73,104.11,104.81,21224721,0.0,1.0
105.61,106.83,104.66,106.48,15474890,105.61,106.83,104.66,106.48,15474890,0.0,1.0
106.49,106.91,103.95,104.0,20401791,106.49,106.91,103.95,104.0,20401791,0.0,1.0
104.6,106.44,103.55,106.18,23517268,104.6,106.44,103.55,106.18,23517268,0.0,1.0
105.42,106.4,104.41,105.05,17454312,105.42,106.4,104.41,105.05,17454312,0.0,1.0
102.12,104.34,101.91,104.15,26427727,102.12,104.34,101.91,104.15,26427727,0.0,1.0
104.66,104.74,101.46,102.285,24813496,104.66,104.74,101.46,102.285,24813496,0.0,1.0
104.55,105.8,104.28,105.3,21764331,104.55,105.8,104.28,105.3,21764331,0.0,1.0
106.79,107.09,104.19,105.37,22680547,106.79,107.09,104.19,105.37,22680547,0.0,1.0
